Nr	Enhet	Kurskod	Version	Faststalld	benamning	Enhetsnamn	creator
120	410	BI0380	1	1998-10-22	Tropisk ekologi och miljövård	Institutionen för entomologi	entom
121	320	BI0381	1	1998-10-28	Botanik, grundkurs	Institutionen för naturvårdsbiologi	nvb
122	410	BI0382	1	1998-10-28	Ekologi, faunistik	Institutionen för entomologi	entom
123	500	BI0383	1	1998-11-17	Ekologisk odling	Institutionen för växtproduktionsekologi	vpe
124	882	BI0384	1	1998-11-17	Renen i samspel med människa och miljö	Enheten för renskötsel	unk
125	882	BI0385	1	1998-11-17	Renen i samspel med människa och miljö, fältkurs	Enheten för renskötsel	unk
126	410	BI0386	1	1998-11-23	Miljövård	Institutionen för entomologi	entom
127	660	BI0387	1	1998-11-26	Ekologisk produktion	Institutionen för växtvetenskap	unk
128	441	BI0388	1	1998-12-15	Åkermarkens produktionsdynamik	Institutionen för ekologi och växtproduktionslära	evp
129	660	BI0389	1	1998-12-17	Påbyggnadskurs växtskydd	Institutionen för växtvetenskap	unk
130	540	BI0390	1	1999-02-25	Ekologisk produktion, norra Skandinavien	Institutionen för norrländsk jordbruksvetenskap	njv
131	660	BI0391	1	1999-03-22	Bevarande av växtgenetiska resurser	Institutionen för växtvetenskap	unk
132	660	BI0392	1	1999-03-22	Fördjupningskurs inom växtförädling	Institutionen för växtvetenskap	unk
133	561	BI0396	1	1999-04-15	Ståndorter och växtanvändning i Mellansverige	Institutionen för lantbruksteknik	ltul
134	660	BI0398	1	1999-08-27	Grundläggande kurs i växtskyddsvetenskap	Institutionen för växtvetenskap	unk
135	660	BI0399	1	1999-07-04	Grundläggande och tillämpad växtfysiologi	Institutionen för växtvetenskap	unk
136	550	BI0400	1	1999-09-08	Köttvetenskap	Institutionen för livsmedelsvetenskap	lmv
137	550	BI0401	1	1999-09-08	Mjölkproduktlära	Institutionen för livsmedelsvetenskap	lmv
138	120	BI0402	1	1998-12-07	Specialpraktik	Fakulteten för landskapsarkitektur, trädgårds- och växtproduktionsvetenskap,	ltv
139	120	BI0403	1	1998-12-07	Företagspraktik	Fakulteten för landskapsarkitektur, trädgårds- och växtproduktionsvetenskap,	ltv
140	500	BI0404	1	2002-10-28	Växtodlingslära II -  resurshushållning, beståndsekologi och produktionsbiologi	Institutionen för växtproduktionsekologi	vpe
141	481	BI0405	1	1999-10-21	Molekylära interaktioner mellan växter och växtskadegörare	Institutionen för växtbiologi	vbsg
142	637	BI0406	1	2002-04-17	Trädvård	Landskapsutveckling	ltv
143	441	BI0407	1	1998-10-28	Biologisk bekämpning	Institutionen för ekologi och växtproduktionslära	evp
144	634	BI0408	1	2002-10-04	Fördjupningskurs, växtodling	Agrosystem	ltv
145	460	BI0409	1	1999-06-11	Mikrobiologisk miljöbioteknik	Institutionen för mikrobiologi	mikrob
146	650	BI0410	1	1999-10-21	Jämförande nutrition	Institutionen för husdjurens utfodring och vård	huv
147	660	BI0411	1	2002-10-21	Odling av grönsaker på friland	Institutionen för växtvetenskap	unk
148	441	BI0412	1	1999-10-29	Livsmedlen i kretsloppet - distanskurs	Institutionen för ekologi och växtproduktionslära	evp
149	670	BI0413	1	1999-10-29	Genomanalys	Institutionen för husdjursgenetik	hgen
150	320	BI0414	1	1999-10-29	Botanik, grundkurs	Institutionen för naturvårdsbiologi	nvb
151	320	BI0415	1	1999-10-29	Kryptogamer och naturvård	Institutionen för naturvårdsbiologi	nvb
152	634	BI0416	1	2002-10-04	Påbyggnadskurs växtskydd	Agrosystem	ltv
153	360	BI0417	1	1999-10-21	Grundläggande miljökunskap	Institutionen för skoglig marklära	sml
154	120	BI0418	1	1999-11-11	Växtbiokemi	Fakulteten för landskapsarkitektur, trädgårds- och växtproduktionsvetenskap,	ltv
155	660	BI0419	1	1999-11-08	Förökning och produktion av vedartade växter, fördjupning	Institutionen för växtvetenskap	unk
156	660	BI0420	1	1999-11-08	Projektkurs	Institutionen för växtvetenskap	unk
157	660	BI0421	1	1999-12-15	Växtskydd - trädgårdskulturer på friland	Institutionen för växtvetenskap	unk
158	660	BI0422	1	1999-12-15	Växtskydd - växthuskulturer	Institutionen för växtvetenskap	unk
159	660	BI0423	1	2002-10-21	Växtskydd för trädgårdskulturer	Institutionen för växtvetenskap	unk
160	540	BI0424	1	2000-04-26	Odling av och utfodring med vallfoder i norra Sverige	Institutionen för norrländsk jordbruksvetenskap	njv
161	712	BI0425	1	2000-04-12	Försöksdjursvetenskap	Institutionen för anatomi, fysiologi och biokemi	afb
162	545	BI0426	1	2000-05-26	Produktion av inhemska bränslen	Institutionen för skogens biomaterial och teknologi	sbt
163	650	BI0427	1	2000-05-15	Näringsfysiologi och fodervetenskap	Institutionen för husdjurens utfodring och vård	huv
164	610	BI0428	1	2000-05-29	Vegetationsbyggnad och växtkännedom 2	Institutionen för landskapsplanering, Alnarp	lpal
165	637	BI0429	1	2000-05-29	Vegetationsbyggnad och växtkännedom 1	Landskapsutveckling	ltv
166	610	BI0430	1	2000-05-29	Biologiska system i landskapet	Institutionen för landskapsplanering, Alnarp	lpal
167	650	BI0431	1	2000-10-18	Fördjupningskurs i utfodring och vård av lantbrukets husdjur	Institutionen för husdjurens utfodring och vård	huv
168	670	BI0432	1	2000-10-11	Husdjur i livsmedelsproduktionen	Institutionen för husdjursgenetik	hgen
169	540	BI0433	1	2000-10-11	Vallfoder i norra Sverige, fortsättningskurs	Institutionen för norrländsk jordbruksvetenskap	njv
170	480	BI0434	1	2000-10-11	Bioetik, grödor och bioteknik	Institutionen för växtbiologi	vbsg
171	480	BI0435	1	2000-10-18	Cellbiologi	Institutionen för växtbiologi	vbsg
172	480	BI0436	1	2000-10-11	Geners uttryck och reglering i animalie-, svamp och växtceller	Institutionen för växtbiologi	vbsg
173	480	BI0437	1	2000-10-11	Växtfysiologi med molekylär inriktning	Institutionen för växtbiologi	vbsg
174	650	BI0438	1	2000-10-31	Lantbrukets husdjur - översiktskurs på distans	Institutionen för husdjurens utfodring och vård	huv
175	561	BI0439	1	2002-09-30	Växtteknik	Institutionen för lantbruksteknik	ltul
176	480	BI0440	1	2000-10-18	Cellbiologi	Institutionen för växtbiologi	vbsg
177	410	BI0441	1	2000-10-11	Natur- och landskapsvård	Institutionen för entomologi	entom
178	415	BI0442	1	2000-10-11	Ekologi, grundkurs för landskapsarkitektprogrammet	Institutionen för ekologi	ekol
179	441	BI0443	1	2000-10-11	Ekologisk botanik, grundkurs	Institutionen för ekologi och växtproduktionslära	evp
180	660	BI0444	1	2000-11-15	Perenner, sommarblommor och grönytegräs	Institutionen för växtvetenskap	unk
181	441	BI0445	1	2000-11-13	Biologi för ekonomer	Institutionen för ekologi och växtproduktionslära	evp
182	500	BI0446	1	2001-02-26	Vallfoders produktion och användning	Institutionen för växtproduktionsekologi	vpe
183	500	BI0447	1	2001-02-26	Internationell växtodling	Institutionen för växtproduktionsekologi	vpe
184	480	BI0449	1	2001-04-26	Växtbioteknik och funktionell genomik	Institutionen för växtbiologi	vbsg
185	480	BI0450	1	2001-04-26	Växternas molekylära försvar	Institutionen för växtbiologi	vbsg
186	561	BI0451	1	2001-06-15	Hortikultur	Institutionen för lantbruksteknik	ltul
187	460	BI0452	1	2001-04-10	Entreprenörskolan i Uppsala/Examensarbete/projektarbete/ biologi	Institutionen för mikrobiologi	mikrob
188	600	BI0453	1	2001-08-07	Primär livsmedelsproduktion och miljön	Institutionen för jordbrukets biosystem och teknologi	jbt
189	561	BI0454	1	2001-04-27	Bekämpningsteknik, fördjupning	Institutionen för lantbruksteknik	ltul
190	550	BI0455	1	2001-09-27	Human nutrition	Institutionen för livsmedelsvetenskap	lmv
191	660	BI0456	1	2001-10-03	Ekologisk produktion	Institutionen för växtvetenskap	unk
192	660	BI0457	1	2001-10-12	Förökning och produktion av vedartade växter, fördjupning	Institutionen för växtvetenskap	unk
193	660	BI0458	1	2001-03-07	Introduktion till trädgårdsväxternas växtskydd	Institutionen för växtvetenskap	unk
194	632	BI0459	1	2001-10-12	Professionell fritidsodling	Institutionen för växtskyddsbiologi	ltv
195	660	BI0460	1	2001-10-12	Projektkurs - Produktionskedjor inom trädgård	Institutionen för växtvetenskap	unk
196	660	BI0461	1	2001-03-07	Systematisk botanik, genetik och förädling	Institutionen för växtvetenskap	unk
197	660	BI0462	1	2001-10-12	Odling av frukt, bär och plantskoleväxter	Institutionen för växtvetenskap	unk
198	660	BI0463	1	2001-10-12	Odling av grönsaker på friland	Institutionen för växtvetenskap	unk
199	660	BI0464	1	2001-10-12	Odling av växthuskulturer	Institutionen för växtvetenskap	unk
200	660	BI0465	1	2001-10-12	Produktlära	Institutionen för växtvetenskap	unk
201	660	BI0466	1	2001-10-12	Produktutveckling inom trädgård	Institutionen för växtvetenskap	unk
202	690	BI0467	1	2001-10-16	Husdjurens fysiologi	Institutionen för djurfysiologi	djfys
203	410	BI0468	1	2001-10-15	Tillämpad populationsbiologi	Institutionen för entomologi	entom
