Nr	Enhet	Kurskod	Version	Faststalld	benamning	Enhetsnamn	creator
3281	880	HV0041	1	2007-10-17	Tillämpad etologi	Institutionen för husdjurens miljö och hälsa	hmh
3282	635	HV0042	1	2007-12-13	Djurmiljö och byggnadsfunktion B	Lantbrukets byggnadsteknik	ltv
3283	650	HV0043	1	2008-02-06	Animal production systems, 15 credits	Institutionen för husdjurens utfodring och vård	huv
3284	650	HV0044	1	2008-02-06	Biological basis of biomass production and utilization by livestock, 15 credits	Institutionen för husdjurens utfodring och vård	huv
3285	650	HV0045	1	2008-02-06	Data collection, statistical analysis and experimental design, 15 credits	Institutionen för husdjurens utfodring och vård	huv
3286	650	HV0046	1	2008-02-06	Farming systems, 15 credits	Institutionen för husdjurens utfodring och vård	huv
3287	880	HV0047	1	2008-06-02	Djurvälfärd	Institutionen för husdjurens miljö och hälsa	hmh
3288	880	HV0048	1	2008-06-02	Marknadsinriktad nötköttsproduktion	Institutionen för husdjurens miljö och hälsa	hmh
3289	650	HV0049	1	2008-06-02	Automatiserade skötselsystem - Nötkreatur	Institutionen för husdjurens utfodring och vård	huv
3290	650	HV0050	1	2008-06-02	Avancerad Fodervetenskap	Institutionen för husdjurens utfodring och vård	huv
3291	650	HV0051	1	2008-06-02	Avancerad Näringsfysiologi	Institutionen för husdjurens utfodring och vård	huv
3292	650	HV0052	1	2008-06-02	Besättningsutredning	Institutionen för husdjurens utfodring och vård	huv
3293	650	HV0053	1	2008-06-02	Djur på bete	Institutionen för husdjurens utfodring och vård	huv
3294	650	HV0054	1	2008-06-02	Djurhållning i ekologiskt lantbruk	Institutionen för husdjurens utfodring och vård	huv
3295	650	HV0055	1	2008-06-02	Foder och djurhälsa	Institutionen för husdjurens utfodring och vård	huv
3296	650	HV0056	1	2008-06-02	Grundläggande Nutrition	Institutionen för husdjurens utfodring och vård	huv
3297	650	HV0057	1	2008-06-02	Grundläggande och tillämpad etologi	Institutionen för husdjurens utfodring och vård	huv
3298	650	HV0058	1	2008-06-02	Hund och katt - Nutrition	Institutionen för husdjurens utfodring och vård	huv
3299	650	HV0059	1	2008-06-02	Husdjursproduktion - Fjäderfä	Institutionen för husdjurens utfodring och vård	huv
3300	650	HV0060	1	2008-06-02	Husdjursproduktion - Gris	Institutionen för husdjurens utfodring och vård	huv
3301	650	HV0061	1	2008-06-02	Husdjursproduktion - Nötkreatur	Institutionen för husdjurens utfodring och vård	huv
3302	650	HV0062	1	2008-06-02	Hästens utfodring	Institutionen för husdjurens utfodring och vård	huv
3303	650	HV0063	1	2008-06-02	Jämförande nutrition	Institutionen för husdjurens utfodring och vård	huv
3304	650	HV0064	1	2008-06-02	Laktationsbiologi	Institutionen för husdjurens utfodring och vård	huv
3305	650	HV0065	1	2008-06-02	Näringsfysiologi och fodervetenskap	Institutionen för husdjurens utfodring och vård	huv
3306	510	HV0066	1	2008-11-05	Agrarhistoria, husdjurskurs	Institutionen för ekonomi	ekon
3307	650	HV0067	1	2008-06-02	Näringsfysiologi och fodervetenskap	Institutionen för husdjurens utfodring och vård	huv
3308	650	HV0068	1	2008-06-02	Tropisk husdjursproduktion	Institutionen för husdjurens utfodring och vård	huv
3309	670	HV0069	1	2008-06-02	Beteendeegenskapers genetik	Institutionen för husdjursgenetik	hgen
3310	670	HV0070	1	2008-06-02	Genetik och husdjursförädling	Institutionen för husdjursgenetik	hgen
3311	670	HV0071	1	2008-06-02	Hund - avel, utfodring och hälsa - översiktskurs	Institutionen för husdjursgenetik	hgen
3312	670	HV0072	1	2008-06-02	Hund och katt - genetik, hälsa och reproduktion	Institutionen för husdjursgenetik	hgen
3313	670	HV0072	2	2012-03-29	Hund och katt - genetik, hälsa och reproduktion	Institutionen för husdjursgenetik	hgen
3314	670	HV0073	1	2008-06-02	Husdjur - Introduktion	Institutionen för husdjursgenetik	hgen
3315	670	HV0074	1	2008-06-02	Hästens biologi och användning	Institutionen för husdjursgenetik	hgen
3316	670	HV0075	1	2008-06-02	Kvantitativ genetik, avelsvärdering och avelsprogram	Institutionen för husdjursgenetik	hgen
3317	670	HV0076	1	2008-06-02	Sjukdomsgenetik	Institutionen för husdjursgenetik	hgen
3318	713	HV0077	1	2008-11-26	Toxikologi, allmän patologi och farmakologi	Institutionen för biomedicin och veterinär folkhälsovetenskap	bvf
3319	670	HV0078	1	2009-01-20	Avel, utveckling och utbildning av unghästar	Institutionen för husdjursgenetik	hgen
3320	670	HV0079	1	2008-12-04	Hästens biologi och användning	Institutionen för husdjursgenetik	hgen
3321	670	HV0080	1	2009-03-23	Husdjur i världen	Institutionen för husdjursgenetik	hgen
3322	670	HV0080	2	2012-01-31	Husdjur i världen	Institutionen för husdjursgenetik	hgen
3323	670	HV0081	1	2009-05-07	Husdjursavel	Institutionen för husdjursgenetik	hgen
3324	670	HV0081	2	2012-01-31	Husdjursavel	Institutionen för husdjursgenetik	hgen
3325	880	HV0082	1	2009-03-26	Grisproduktion	Institutionen för husdjurens miljö och hälsa	hmh
3326	650	HV0083	1	2009-11-19	Hästens utfodring	Institutionen för husdjurens utfodring och vård	huv
3327	650	HV0084	1	2009-11-19	Tropisk husdjursproduktion	Institutionen för husdjurens utfodring och vård	huv
3328	650	HV0085	1	2009-10-28	Tropisk husdjursproduktion	Institutionen för husdjurens utfodring och vård	huv
3329	650	HV0086	1	2009-11-24	Besättningsutredning	Institutionen för husdjurens utfodring och vård	huv
3330	650	HV0087	1	2009-11-24	Hund och katt - Nutrition	Institutionen för husdjurens utfodring och vård	huv
3331	650	HV0087	2	2012-02-22	Hund och katt - Nutrition	Institutionen för husdjurens utfodring och vård	huv
3332	650	HV0088	1	2009-11-24	Husdjursproduktion - Fjäderfä	Institutionen för husdjurens utfodring och vård	huv
3333	650	HV0089	1	2009-11-24	Jämförande nutrition	Institutionen för husdjurens utfodring och vård	huv
3334	650	HV0090	1	2009-11-24	Laktationsbiologi	Institutionen för husdjurens utfodring och vård	huv
3335	670	HV0091	1	2009-11-30	Beteendeegenskapers genetik	Institutionen för husdjursgenetik	hgen
3336	670	HV0092	1	2009-11-30	Sjukdomsgenetik	Institutionen för husdjursgenetik	hgen
3337	880	HV0093	1	2009-10-28	Etologiska metoder och försöksdesign	Institutionen för husdjurens miljö och hälsa	hmh
3338	880	HV0094	1	2009-10-28	Protection and welfare of animals	Institutionen för husdjurens miljö och hälsa	hmh
3339	880	HV0095	1	2009-10-28	Anthrozoology	Institutionen för husdjurens miljö och hälsa	hmh
3340	880	HV0096	1	2009-10-28	Applied Animal Behaviour	Institutionen för husdjurens miljö och hälsa	hmh
3341	880	HV0097	1	2009-10-28	Tillämpad etologi	Institutionen för husdjurens miljö och hälsa	hmh
3342	670	HV0098	1	2010-09-08	Designing Breeding Programmes	Institutionen för husdjursgenetik	hgen
3343	650	HV0099	1	2010-10-11	Laktationsbiologi	Institutionen för husdjurens utfodring och vård	huv
3344	643	HV0100	1	2011-10-26	Djurmiljö och byggnadsfunktion	Institutionen för biosystem och teknologi	ltv
3345	670	HV0101	1	2013-06-12	Hund och katt - genetik, hälsa och reproduktion	Institutionen för husdjursgenetik	hgen
3346	670	HV0102	1	2013-06-12	Sjukdomsgenetik	Institutionen för husdjursgenetik	hgen
3347	670	HV0103	1	2013-06-12	Beteendegenetik	Institutionen för husdjursgenetik	hgen
3348	670	HV0104	1	2013-10-03	Utformning av avelsprogram	Institutionen för husdjursgenetik	hgen
3349	670	HV0105	1	2013-10-03	Hästens biologi och användning	Institutionen för husdjursgenetik	hgen
3350	880	HV0106	1	2014-11-27	Grundläggande och tillämpad etologi	Institutionen för husdjurens miljö och hälsa	hmh
3351	880	HV0107	1	2015-12-10	Husdjursvetenskap - vetenskapligt perspektiv	Institutionen för husdjurens miljö och hälsa	hmh
3352	880	HV0108	1	2015-12-10	Djurvälfärd, djurskydd och etologi	Institutionen för husdjurens miljö och hälsa	hmh
3353	880	HV0109	1	2015-11-12	Etologi och djurskydd	Institutionen för husdjurens miljö och hälsa	hmh
3354	880	HV0109	2	2015-11-12	Etologi och djurskydd	Institutionen för husdjurens miljö och hälsa	hmh
3355	880	HV0110	1	2015-11-12	Naturvetenskaplig grundkurs – evolution och ekologi	Institutionen för husdjurens miljö och hälsa	hmh
3356	880	HV0111	1	2015-11-12	Djurhållning, djurhälsa och smittskydd	Institutionen för husdjurens miljö och hälsa	hmh
3357	880	HV0112	1	2015-11-12	Djurmiljö, djurvälfärd och byggnadsfunktion	Institutionen för husdjurens miljö och hälsa	hmh
3358	670	HV0113	1	2015-11-12	Naturvetenskaplig grundkurs – sport och sällskapsdjur	Institutionen för husdjursgenetik	hgen
3359	670	HV0114	1	2015-11-12	Husdjursgenetik - hälsa, beteende och välfärd	Institutionen för husdjursgenetik	hgen
3360	650	HV0115	1	2015-11-12	Näringsfysiologi	Institutionen för husdjurens utfodring och vård	huv
3361	650	HV0116	1	2015-11-12	Produktionsbiologi	Institutionen för husdjurens utfodring och vård	huv
3362	650	HV0117	1	2015-11-12	Fodervetenskap och vallfoderproduktion	Institutionen för husdjurens utfodring och vård	huv
3363	650	HV0118	1	2015-11-12	Forskningsträning och projekt	Institutionen för husdjurens utfodring och vård	huv
3364	650	HV0119	1	2015-11-12	Naturvetenskaplig grundkurs – Husdjursagronom	Institutionen för husdjurens utfodring och vård	huv
3365	650	HV0120	1	2015-11-12	Djurens biologi 1 - biokemi	Institutionen för husdjurens utfodring och vård	huv
3366	650	HV0120	2	2015-11-12	Djurens biologi 1 - biokemi	Institutionen för husdjurens utfodring och vård	huv
3367	650	HV0120	3	2015-11-12	Djurens biologi 1 - biokemi	Institutionen för husdjurens utfodring och vård	huv
3368	650	HV0121	1	2015-11-12	Djur och företagande 1	Institutionen för husdjurens utfodring och vård	huv
3369	670	HV0122	1	2015-11-12	Genomanalys	Institutionen för husdjursgenetik	hgen
3370	650	HV0123	1	2015-12-10	Naturvetenskaplig grundkurs – Husdjursagronom	Institutionen för husdjurens utfodring och vård	huv
3371	880	HV0124	1	2015-12-10	Djurvälfärd, djurskydd och etologi	Institutionen för husdjurens miljö och hälsa	hmh
3372	880	HV0124	2	2015-12-10	Djurvälfärd, djurskydd och etologi	Institutionen för husdjurens miljö och hälsa	hmh
3373	880	HV0125	1	2015-12-10	Husdjursvetenskap - vetenskapligt perspektiv	Institutionen för husdjurens miljö och hälsa	hmh
3374	880	HV0126	1	2015-12-10	Djurmiljö, djurvälfärd och byggnadsfunktion	Institutionen för husdjurens miljö och hälsa	hmh
3375	670	HV0127	1	2016-01-20	Utformning av avelsprogram, 15hp	Institutionen för husdjursgenetik	hgen
3376	650	HV0128	1	2016-11-08	Näringslära – hälsa, beteende och välfärd	Institutionen för husdjurens utfodring och vård	huv
3377	650	HV0128	2	2016-11-08	Näringslära – hälsa, beteende och välfärd	Institutionen för husdjurens utfodring och vård	huv
3378	650	HV0129	1	2016-11-08	Djurens nutrition	Institutionen för husdjurens utfodring och vård	huv
3379	650	HV0129	2	2016-11-08	Djurens nutrition	Institutionen för husdjurens utfodring och vård	huv
3380	650	HV0130	1	2016-11-08	Djurens utfodring	Institutionen för husdjurens utfodring och vård	huv
3381	650	HV0130	2	2016-11-08	Djurens utfodring	Institutionen för husdjurens utfodring och vård	huv
3382	670	HV0131	1	2016-11-08	Avel 1	Institutionen för husdjursgenetik	hgen
3383	670	HV0131	2	2016-11-08	Avel 1	Institutionen för husdjursgenetik	hgen
3384	670	HV0132	1	2016-11-08	Avel 2	Institutionen för husdjursgenetik	hgen
3385	670	HV0132	2	2016-11-08	Avel 2	Institutionen för husdjursgenetik	hgen
3386	713	HV0133	1	2016-11-08	Djurens biologi 2 – cellen	Institutionen för biomedicin och veterinär folkhälsovetenskap	bvf
3387	713	HV0133	2	2016-11-08	Djurens biologi 2 – cellen	Institutionen för biomedicin och veterinär folkhälsovetenskap	bvf
3388	712	HV0134	1	2016-11-08	Djurens biologi 3 – fysiologi	Institutionen för anatomi, fysiologi och biokemi	afb
3389	880	HV0135	1	2016-11-08	Etologi och antrozoologi 1	Institutionen för husdjurens miljö och hälsa	hmh
3390	880	HV0135	2	2016-11-08	Etologi och antrozoologi 1	Institutionen för husdjurens miljö och hälsa	hmh
3391	880	HV0136	1	2016-11-08	Djurskydd och författningskunskap	Institutionen för husdjurens miljö och hälsa	hmh
3392	880	HV0136	2	2018-10-26	Djurskydd och författningskunskap	Institutionen för husdjurens miljö och hälsa	hmh
3393	650	HV0137	1	2016-12-16	Produktionsbiologi	Institutionen för husdjurens utfodring och vård	huv
3394	650	HV0138	1	2016-12-14	Besättningsutredning	Institutionen för husdjurens utfodring och vård	huv
3395	880	HV0139	1	2016-12-14	Naturvetenskaplig grundkurs - evolution och ekologi	Institutionen för husdjurens miljö och hälsa	hmh
3396	880	HV0139	2	2016-12-14	Naturvetenskaplig grundkurs - evolution och ekologi	Institutionen för husdjurens miljö och hälsa	hmh
3397	670	HV0140	1	2016-12-14	Naturvetenskaplig grundkurs - Sport- och sällskapsdjur	Institutionen för husdjursgenetik	hgen
3398	650	HV0141	1	2016-12-14	Naturvetenskaplig grundkurs – Husdjursagronom	Institutionen för husdjurens utfodring och vård	huv
3399	650	HV0141	2	2016-12-14	Naturvetenskaplig grundkurs – Husdjursagronom	Institutionen för husdjurens utfodring och vård	huv
3400	650	HV0142	1	2017-01-26	Hästens utfodring	Institutionen för husdjurens utfodring och vård	huv
3401	880	HV0143	1	2017-04-27	Praktik - Yrkesmässig djurhållning och skötsel	Institutionen för husdjurens miljö och hälsa	hmh
3402	880	HV0143	2	2017-04-27	Praktik - Yrkesmässig djurhållning och skötsel	Institutionen för husdjurens miljö och hälsa	hmh
3403	880	HV0143	3	2022-04-12	Praktik - Yrkesmässig djurhållning och skötsel	Institutionen för husdjurens miljö och hälsa	hmh
3404	650	HV0144	1	2017-11-14	Animalieproduktion – Idisslare	Institutionen för husdjurens utfodring och vård	huv
3405	650	HV0144	2	2017-11-14	Animalieproduktion – Idisslare	Institutionen för husdjurens utfodring och vård	huv
3406	650	HV0144	3	2017-11-14	Animalieproduktion – Idisslare	Institutionen för husdjurens utfodring och vård	huv
3407	650	HV0145	1	2017-11-14	Animalieproduktion – akvakultur, fjäderfä och gris	Institutionen för husdjurens utfodring och vård	huv
3408	650	HV0146	1	2017-11-14	Global animalieproduktion	Institutionen för husdjurens utfodring och vård	huv
3409	650	HV0146	2	2017-11-14	Global animalieproduktion	Institutionen för husdjurens utfodring och vård	huv
3410	650	HV0147	1	2017-11-14	Hästens utfodring	Institutionen för husdjurens utfodring och vård	huv
3411	880	HV0148	1	2017-11-14	Djurhållning, djurhälsa och smittskydd	Institutionen för husdjurens miljö och hälsa	hmh
3412	880	HV0148	2	2017-11-14	Djurhållning, djurhälsa och smittskydd	Institutionen för husdjurens miljö och hälsa	hmh
3413	880	HV0149	1	2017-11-14	Djurmiljö	Institutionen för husdjurens miljö och hälsa	hmh
3414	880	HV0149	2	2017-11-14	Djurmiljö	Institutionen för husdjurens miljö och hälsa	hmh
3415	880	HV0150	1	2017-11-14	Djurskydd - kontroll och bedömning	Institutionen för husdjurens miljö och hälsa	hmh
3416	880	HV0150	2	2017-11-14	Djurskydd - kontroll och bedömning	Institutionen för husdjurens miljö och hälsa	hmh
3417	880	HV0151	1	2017-11-14	Etologi och antrozoologi 2	Institutionen för husdjurens miljö och hälsa	hmh
3418	880	HV0151	2	2018-11-12	Etologi och antrozoologi 2	Institutionen för husdjurens miljö och hälsa	hmh
3419	880	HV0152	1	2017-11-14	Bevarandebiologi	Institutionen för husdjurens miljö och hälsa	hmh
3420	880	HV0152	2	2017-11-14	Bevarandebiologi	Institutionen för husdjurens miljö och hälsa	hmh
3421	670	HV0153	1	2017-11-14	Hästens biologi	Institutionen för husdjursgenetik	hgen
3422	670	HV0153	2	2017-11-14	Hästens biologi	Institutionen för husdjursgenetik	hgen
3423	670	HV0154	1	2017-11-14	Hästen i sport, arbete och fritid	Institutionen för husdjursgenetik	hgen
3424	670	HV0154	2	2017-11-14	Hästen i sport, arbete och fritid	Institutionen för husdjursgenetik	hgen
3425	670	HV0155	1	2017-11-14	Hundens och kattens biologi och användning	Institutionen för husdjursgenetik	hgen
3426	670	HV0155	2	2017-11-14	Hundens och kattens biologi och användning	Institutionen för husdjursgenetik	hgen
3427	880	HV0156	1	2017-11-14	Små sällskapsdjur och försöksdjursvetenskap	Institutionen för husdjurens miljö och hälsa	hmh
3428	712	HV0157	1	2017-11-14	Djurens biologi 3 – fysiologi	Institutionen för anatomi, fysiologi och biokemi	afb
3429	712	HV0157	2	2017-11-14	Djurens biologi 3 – fysiologi	Institutionen för anatomi, fysiologi och biokemi	afb
3430	650	HV0158	1	2017-11-14	Animalieproduktion – Idisslare	Institutionen för husdjurens utfodring och vård	huv
3431	650	HV0158	2	2017-11-14	Animalieproduktion – Idisslare	Institutionen för husdjurens utfodring och vård	huv
3432	650	HV0158	3	2017-11-14	Animalieproduktion – Idisslare	Institutionen för husdjurens utfodring och vård	huv
3433	650	HV0158	4	2017-11-14	Animalieproduktion – Idisslare	Institutionen för husdjurens utfodring och vård	huv
3434	650	HV0159	1	2017-11-14	Animalieproduktion – akvakultur, fjäderfä och gris	Institutionen för husdjurens utfodring och vård	huv
3435	650	HV0159	2	2017-11-14	Animalieproduktion – akvakultur, fjäderfä och gris	Institutionen för husdjurens utfodring och vård	huv
3436	880	HV0160	1	2017-12-14	Djurskydd, djurvälfärd och djuretik	Institutionen för husdjurens miljö och hälsa	hmh
3437	880	HV0160	2	2017-12-14	Djurskydd, djurvälfärd och djuretik	Institutionen för husdjurens miljö och hälsa	hmh
3438	650	HV0161	1	2017-12-14	Forskningsträning och projekt	Institutionen för husdjurens utfodring och vård	huv
3439	880	HV0162	1	2017-12-14	Husdjursvetenskap - vetenskapligt perspektiv	Institutionen för husdjurens miljö och hälsa	hmh
3440	880	HV0162	2	2017-12-14	Husdjursvetenskap - vetenskapligt perspektiv	Institutionen för husdjurens miljö och hälsa	hmh
3441	880	HV0162	3	2017-12-14	Husdjursvetenskap - vetenskapligt perspektiv	Institutionen för husdjurens miljö och hälsa	hmh
3442	650	HV0163	1	2017-12-14	Näringsfysiologi	Institutionen för husdjurens utfodring och vård	huv
3443	650	HV0163	2	2017-12-14	Näringsfysiologi	Institutionen för husdjurens utfodring och vård	huv
3444	670	HV0164	1	2017-12-14	Genomanalys	Institutionen för husdjursgenetik	hgen
3445	670	HV0164	2	2017-12-14	Genomanalys	Institutionen för husdjursgenetik	hgen
3446	880	HV0165	1	2017-12-14	Djurmiljö, djurvälfärd och byggnadsfunktion	Institutionen för husdjurens miljö och hälsa	hmh
3447	880	HV0165	2	2017-12-14	Djurmiljö, djurvälfärd och byggnadsfunktion	Institutionen för husdjurens miljö och hälsa	hmh
3448	880	HV0165	3	2017-12-14	Djurmiljö, djurvälfärd och byggnadsfunktion	Institutionen för husdjurens miljö och hälsa	hmh
3449	650	HV0166	1	2017-12-14	Fodervetenskap och vallfoderproduktion	Institutionen för husdjurens utfodring och vård	huv
3450	670	HV0167	1	2017-12-14	Husdjursgenetik - hälsa, beteende och välfärd	Institutionen för husdjursgenetik	hgen
3451	880	HV0168	1	2017-12-14	Marknadsinriktad nötköttsproduktion	Institutionen för husdjurens miljö och hälsa	hmh
3452	880	HV0169	1	2017-12-14	Marknadsinriktad får- och lammköttsproduktion	Institutionen för husdjurens miljö och hälsa	hmh
3453	880	HV0169	2	2020-11-12	Marknadsinriktad får- och lammköttsproduktion	Institutionen för husdjurens miljö och hälsa	hmh
3454	650	HV0170	1	2018-01-11	Produktionsbiologi	Institutionen för husdjurens utfodring och vård	huv
3455	650	HV0171	1	2018-11-15	Besättningsutredning	Institutionen för husdjurens utfodring och vård	huv
3456	650	HV0172	1	2018-11-15	Besättningsutredning inklusive försöksdjursvetenskap	Institutionen för husdjurens utfodring och vård	huv
3457	650	HV0173	1	2018-11-15	Renens biologi och renskötsel	Institutionen för husdjurens utfodring och vård	huv
3458	670	HV0174	1	2018-11-15	Naturvetenskaplig grundkurs - Sport- och sällskapsdjur	Institutionen för husdjursgenetik	hgen
3459	670	HV0175	1	2018-11-15	Utformning av avelsprogram, 15hp	Institutionen för husdjursgenetik	hgen
3460	650	HV0176	1	2018-11-15	Forskningsträning och projekt	Institutionen för husdjurens utfodring och vård	huv
3461	650	HV0177	1	2018-12-04	Hästens utfodring	Institutionen för husdjurens utfodring och vård	huv
3462	715	HV0178	1	2018-12-17	Människor, djur, ekosystem – One Health i en globalt hållbar animalieproduktion	Institutionen för kliniska vetenskaper	kv
3463	712	HV0179	1	2019-11-14	Djurens biologi 3 – fysiologi	Institutionen för anatomi, fysiologi och biokemi	afb
3464	670	HV0180	1	2019-11-14	Hästens biologi	Institutionen för husdjursgenetik	hgen
3465	670	HV0181	1	2019-11-14	Hästen i sport, arbete och fritid	Institutionen för husdjursgenetik	hgen
3466	880	HV0182	1	2019-11-14	Bevarandebiologi	Institutionen för husdjurens miljö och hälsa	hmh
3467	880	HV0183	1	2019-11-14	Djurmiljö	Institutionen för husdjurens miljö och hälsa	hmh
3468	880	HV0183	2	2019-11-14	Djurmiljö	Institutionen för husdjurens miljö och hälsa	hmh
3469	880	HV0184	1	2019-11-14	Djurskydd och författningskunskap	Institutionen för husdjurens miljö och hälsa	hmh
3470	880	HV0185	1	2019-11-14	Djurskydd - kontroll och bedömning	Institutionen för husdjurens miljö och hälsa	hmh
3471	880	HV0186	1	2019-11-14	Etologi och antrozoologi 2	Institutionen för husdjurens miljö och hälsa	hmh
3472	670	HV0187	1	2019-11-14	Genomanalys	Institutionen för husdjursgenetik	hgen
3473	880	HV0188	1	2019-11-14	Djurvälfärd, djurskydd och etologi	Institutionen för husdjurens miljö och hälsa	hmh
3474	670	HV0189	1	2019-11-14	Grundläggande husdjursgenetik och avel	Institutionen för husdjursgenetik	hgen
3475	880	HV0190	1	2019-12-18	Marknadsinriktad nötköttsproduktion	Institutionen för husdjurens miljö och hälsa	hmh
3476	880	HV0190	2	2019-12-18	Marknadsinriktad nötköttsproduktion	Institutionen för husdjurens miljö och hälsa	hmh
3477	880	HV0191	1	2020-11-12	Djurskydd och djurvälfärd	Institutionen för husdjurens miljö och hälsa	hmh
3478	650	HV0192	1	2020-11-12	Husdjursvetenskaplig grundkurs	Institutionen för husdjurens utfodring och vård	huv
3479	880	HV0193	1	2020-11-12	Etologi och anatomi	Institutionen för husdjurens miljö och hälsa	hmh
3480	650	HV0194	1	2020-11-12	Laktationsbiologi	Institutionen för husdjurens utfodring och vård	huv
3481	670	HV0195	1	2020-11-12	Utformning av avelsprogram	Institutionen för husdjursgenetik	hgen
3482	880	HV0196	1	2020-11-12	Avancerad djurvälfärd och djurskydd	Institutionen för husdjurens miljö och hälsa	hmh
3483	650	HV0197	1	2020-11-12	Forskningsmetoder och projekt inklusive försöksdjurskunskap	Institutionen för husdjurens utfodring och vård	huv
3484	880	HV0198	1	2020-11-12	Husdjursvetenskap – vetenskapligt perspektiv	Institutionen för husdjurens miljö och hälsa	hmh
3485	880	HV0199	1	2020-11-12	Husdjursvetenskap – ett hållbarhetsperspektiv	Institutionen för husdjurens miljö och hälsa	hmh
3486	670	HV0200	1	2020-12-15	Hållbar akvakultur	Institutionen för husdjursgenetik	hgen
3487	650	HV0201	1	2021-11-16	Djurnutrition och djurvälfärd	Institutionen för husdjurens utfodring och vård	huv
3488	650	HV0202	1	2021-11-16	Avancerad djurnutrition	Institutionen för husdjurens utfodring och vård	huv
3489	880	HV0203	1	2021-11-16	Djurskydd, djuretik och vetenskaplig metod	Institutionen för husdjurens miljö och hälsa	hmh
3490	712	HV0204	1	2021-11-16	Husdjurens fysiologi och histologi	Institutionen för anatomi, fysiologi och biokemi	afb
3491	650	HV0205	1	2021-11-16	Fodervetenskap och husdjurens näringslära	Institutionen för husdjurens utfodring och vård	huv
3492	670	HV0206	1	2021-11-16	Husdjurens genetik och avel	Institutionen för husdjursgenetik	hgen
3493	880	HV0207	1	2021-11-16	Djurvälfärd, djurskydd och etologi	Institutionen för husdjurens miljö och hälsa	hmh
3494	715	IK0001	1	2006-09-25	Hur man skriver och publicerar ett vetenskapligt arbete	Institutionen för kliniska vetenskaper	kv
3495	565	IK0002	1	1996-12-16	Visual Basic och Excel	Institutionen för energi och teknik	et
3496	520	IK0003	1	1996-12-16	Programmering i C	Institutionen för biometri och informatik	unk
3497	565	IK0004	1	1996-12-16	Informera på WWW	Institutionen för energi och teknik	et
3498	565	IK0005	1	1998-11-09	JAVA	Institutionen för energi och teknik	et
3499	565	IK0006	1	2001-10-23	Databaser	Institutionen för energi och teknik	et
3500	565	IK0007	1	2001-10-16	Informera på WWW	Institutionen för energi och teknik	et
3501	910	IK9001	1	2002-03-13	Att kommunicera biodiversitet I	Centrum för biologisk mångfald	cbm
3502	910	IK9002	1	2002-03-13	Att kommunicera biodiversitet II	Centrum för biologisk mångfald	cbm
3503	330	IN0432	1	2008-10-24	Individuell kurs Gibberelliners funktion under tillväxtavslutning i hybridasp	Institutionen för skoglig genetik och växtfysiologi	genfys
3504	260	IN0433	1	2008-09-30	Individuell kurs Simulering av virkesförsörjningssystem	Institutionen för skoglig resurshushållning	srh
3505	595	IN0434	1	2008-10-24	Individuell kurs, Emergy Evaluation - Regional Analysis	Institutionen för stad och land	sol
3506	631	IN0435	1	2008-10-27	Avancerad växtförädling och genetiska resurser	Institutionen för växtförädling och bioteknik	unk
3507	480	IN0436	1	2008-11-13	In vivo-analys av aktivitet och dynamik för Rac/Rop GTPase i pollenslangar	Institutionen för växtbiologi	vbsg
3508	415	IN0437	1	2008-11-19	Biological control of insects	Institutionen för ekologi	ekol
3509	241	IN0438	1	2008-12-05	Individuell kurs i lagring av rundvirke och torkning av sågat virke	Institutionen för skogens ekologi och skötsel	seksko
3510	295	IN0439	1	2008-12-05	Individuell kurs Skogspolitik på Europanivå	Institutionen för sydsvensk skogsvetenskap	ess
3511	631	IN0588	1	2008-11-27	Individuell kurs: Gene Bank Management - Training om Gene band Operations	Institutionen för växtförädling och bioteknik	unk
3512	210	IN0589	1	2008-12-16	Marknadsföring, planering och genomförande av ett skogligt informationsprojekt	Skogsmästarskolan	sms
3513	637	IN0590	1	2008-12-17	Euroleague-planeringskursen	Landskapsutveckling	ltv
3514	637	IN0591	1	2008-12-17	Landskapsambassadörskursen	Landskapsutveckling	ltv
3515	540	IN0592	1	2008-12-08	Ekologisk och konventionell växtodling	Institutionen för norrländsk jordbruksvetenskap	njv
3516	241	IN0593	1	2008-12-18	Individuell kurs Planterad skog i tropikerna	Institutionen för skogens ekologi och skötsel	seksko
3517	330	IN0594	1	2008-12-18	Individuell kurs: Wood cell wall modifying enzymes in populus	Institutionen för skoglig genetik och växtfysiologi	genfys
3518	636	IN0595	1	2008-11-27	Individuell kurs i Professionell presentation	Landskapsarkitektur	ltv
3519	510	IN0596	1	2008-12-12	Individual course, Natural resource and environmental economics	Institutionen för ekonomi	ekon
3520	638	IN0597	1	2009-01-14	Individuell kurs i företagsstyrning	Institutionen för människa och samhälle	ltv
3521	634	IN0598	1	2009-01-26	Individuell kurs, Växtodling	Agrosystem	ltv
3522	635	IN0599	1	2009-01-26	Individuell kurs, Växtproduktionens teknik samt skogsbruk och statistik	Lantbrukets byggnadsteknik	ltv
3523	510	IN0626	1	2009-01-26	Individual Course Food Market Analysis	Institutionen för ekonomi	ekon
3524	510	IN0627	1	2009-01-26	Individuell kurs  Sälbeståndets påverkan på fiskenäringen i ett ekonomiskt perspektiv	Institutionen för ekonomi	ekon
3525	631	IN0628	1	2009-01-14	Individual Course in Applied Laboratory Methodology in Plant Breeding	Institutionen för växtförädling och bioteknik	unk
3526	635	IN0629	1	2009-01-14	Individuell kurs, Byggnadskonstruktion 2	Lantbrukets byggnadsteknik	ltv
