Nr	Kurskod	Version	Kursplan sve	Kursplan sve_link0	Kursplan eng	Kursplan eng_link0	Json	Json_link0
31	BI0091	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0091&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0091&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0091&ver=1&sprak=sv
32	BI0093	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0093&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0093&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0093&ver=1&sprak=sv
33	BI0099	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0099&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0099&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0099&ver=1&sprak=sv
34	BI0101	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0101&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0101&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0101&ver=1&sprak=sv
35	BI0111	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0111&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0111&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0111&ver=1&sprak=sv
36	BI0113	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0113&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0113&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0113&ver=1&sprak=sv
37	BI0118	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0118&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0118&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0118&ver=1&sprak=sv
38	BI0123	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0123&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0123&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0123&ver=1&sprak=sv
39	BI0133	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0133&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0133&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0133&ver=1&sprak=sv
40	BI0145	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0145&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0145&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0145&ver=1&sprak=sv
41	BI0146	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0146&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0146&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0146&ver=1&sprak=sv
42	BI0147	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0147&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0147&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0147&ver=1&sprak=sv
43	BI0148	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0148&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0148&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0148&ver=1&sprak=sv
44	BI0149	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0149&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0149&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0149&ver=1&sprak=sv
45	BI0153	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0153&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0153&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0153&ver=1&sprak=sv
46	BI0157	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0157&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0157&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0157&ver=1&sprak=sv
47	BI0160	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0160&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0160&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0160&ver=1&sprak=sv
48	BI0165	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0165&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0165&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0165&ver=1&sprak=sv
49	BI0173	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0173&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0173&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0173&ver=1&sprak=sv
50	BI0179	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0179&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0179&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0179&ver=1&sprak=sv
51	BI0194	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0194&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0194&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0194&ver=1&sprak=sv
52	BI0203	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0203&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0203&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0203&ver=1&sprak=sv
53	BI0204	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0204&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0204&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0204&ver=1&sprak=sv
54	BI0206	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0206&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0206&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0206&ver=1&sprak=sv
55	BI0207	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0207&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0207&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0207&ver=1&sprak=sv
56	BI0208	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0208&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0208&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0208&ver=1&sprak=sv
