Programkod	Version	Giltig fr.o.m.	Program sve	Program sve_link0	Program eng	Program eng_link0
VY002	1	ht 2010	Veterinärprogrammet	utbildningsplan.cfm?programkod=VY002&ver=1&sprak=sv	Veterinary Medicine Programme	utbildningsplan.cfm?programkod=VY002&ver=1&sprak=en
VY002	2	ht 2012	Veterinärprogrammet	utbildningsplan.cfm?programkod=VY002&ver=2&sprak=sv	Veterinary Medicine Programme	utbildningsplan.cfm?programkod=VY002&ver=2&sprak=en
VY002	3	ht 2013	Veterinärprogrammet	utbildningsplan.cfm?programkod=VY002&ver=3&sprak=sv	Veterinary Medicine Programme	utbildningsplan.cfm?programkod=VY002&ver=3&sprak=en
VY008	1	ht 2016	Agronomprogrammet - husdjur	utbildningsplan.cfm?programkod=VY008&ver=1&sprak=sv	Agriculture Programme - Animal Science	utbildningsplan.cfm?programkod=VY008&ver=1&sprak=en
VY008	2	ht 2018	Agronomprogrammet - husdjur	utbildningsplan.cfm?programkod=VY008&ver=2&sprak=sv	Agriculture Programme - Animal Science	utbildningsplan.cfm?programkod=VY008&ver=2&sprak=en
VY008	3	ht 2019	Agronomprogrammet - husdjur	utbildningsplan.cfm?programkod=VY008&ver=3&sprak=sv	Agriculture Programme - Animal Science	utbildningsplan.cfm?programkod=VY008&ver=3&sprak=en
VY008	4	ht 2021	Agronomprogrammet - husdjur	utbildningsplan.cfm?programkod=VY008&ver=4&sprak=sv	Agriculture Programme - Animal Science	utbildningsplan.cfm?programkod=VY008&ver=4&sprak=en
VY009	1	ht 2017	Veterinärprogrammet	utbildningsplan.cfm?programkod=VY009&ver=1&sprak=sv	Veterinary Medicine programme	utbildningsplan.cfm?programkod=VY009&ver=1&sprak=en
VY009	2	ht 2018	Veterinärprogrammet	utbildningsplan.cfm?programkod=VY009&ver=2&sprak=sv	Veterinary Medicine programme	utbildningsplan.cfm?programkod=VY009&ver=2&sprak=en
VY009	3	ht 2020	Veterinärprogrammet	utbildningsplan.cfm?programkod=VY009&ver=3&sprak=sv	Veterinary Medicine programme	utbildningsplan.cfm?programkod=VY009&ver=3&sprak=en
VY009	4	ht 2022	Veterinärprogrammet	utbildningsplan.cfm?programkod=VY009&ver=4&sprak=sv	Veterinary Medicine programme	utbildningsplan.cfm?programkod=VY009&ver=4&sprak=en
VY010	1	ht 2018	Djursjukskötarprogrammet	utbildningsplan.cfm?programkod=VY010&ver=1&sprak=sv	Veterinary Nursing programme	utbildningsplan.cfm?programkod=VY010&ver=1&sprak=en
VY010	2	ht 2020	Djursjukskötarprogrammet	utbildningsplan.cfm?programkod=VY010&ver=2&sprak=sv	Veterinary Nursing programme	utbildningsplan.cfm?programkod=VY010&ver=2&sprak=en
VY010	3	ht 2022	Djursjukskötarprogrammet	utbildningsplan.cfm?programkod=VY010&ver=3&sprak=sv	Veterinary Nursing programme	utbildningsplan.cfm?programkod=VY010&ver=3&sprak=en
VY011	1	ht 2021	Hippologprogrammet	utbildningsplan.cfm?programkod=VY011&ver=1&sprak=sv	Equine Science (BSc)	utbildningsplan.cfm?programkod=VY011&ver=1&sprak=en
VY011	2	ht 2022	Hippologprogrammet	utbildningsplan.cfm?programkod=VY011&ver=2&sprak=sv	Equine Science (BSc)	utbildningsplan.cfm?programkod=VY011&ver=2&sprak=en
